Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2022,6.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2023,19.0,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hadsten",2024,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2015,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2016,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2017,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2018,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2019,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2020,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2021,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2022,,6.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2023,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hedensted",2024,,,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2015,6.0,62.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2016,,86.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2017,,93.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2018,,103.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2019,,111.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2020,,103.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2021,,111.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2022,,83.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2023,,92.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Hobro",2024,,57.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2015,42.0,27.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2016,34.0,38.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2017,38.0,40.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2018,29.0,59.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2019,34.0,48.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2020,33.0,47.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2021,49.0,43.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2022,10.0,32.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2023,15.0,27.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens",2024,,21.0,,
Erhvervsakademier,Erhvervsakademi Dania,"Erhvervsakademi Dania, Horsens (e-læring)",2015,40.0,,,
